,true_n,n,posterior
800,21,27,0.000114108225
801,22,27,0.0007507453
802,23,27,0.005501345
803,24,27,0.049821828
804,25,27,0.121092536
805,26,27,0.19193465
806,27,27,0.1925729
807,28,27,0.19656144
808,29,27,0.09726138
809,30,27,0.064521566
810,1,28,3.8270846e-20
811,2,28,4.0746254e-22
812,3,28,3.0659224e-18
813,4,28,3.3926888e-15
814,5,28,4.7854646e-16
815,6,28,7.066892e-15
816,7,28,5.949368e-14
817,8,28,5.656e-16
818,9,28,4.238079e-17
819,10,28,1.0271493e-20
820,11,28,6.970947e-29
821,12,28,3.6138726e-33
822,13,28,1.78e-43
823,14,28,3.4337812e-20
824,15,28,5.6818385e-13
825,16,28,1.772443e-10
826,17,28,2.0107159e-28
827,18,28,1.1907978e-19
828,19,28,9.0431474e-14
829,20,28,8.517887e-09
830,21,28,2.9936166e-06
831,22,28,0.0007752233
832,23,28,0.00022565536
833,24,28,0.017917812
834,25,28,0.067477725
835,26,28,0.12732093
836,27,28,0.10134597
837,28,28,0.11343519
838,29,28,0.18945147
839,30,28,0.13240282
840,1,29,3.5954055e-20
841,2,29,3.7255707e-22
842,3,29,2.7180113e-18
843,4,29,3.2982588e-15
844,5,29,3.8758804e-16
845,6,29,5.4540545e-15
846,7,29,1.7899926e-13
847,8,29,1.3642589e-15
848,9,29,7.8343147e-16
849,10,29,2.2611235e-19
850,11,29,1.8646427e-26
851,12,29,2.1678604e-30
852,13,29,1.518334e-39
853,14,29,1.340917e-23
854,15,29,3.175505e-15
855,16,29,9.124618e-12
856,17,29,3.8871395e-10
857,18,29,5.3350295e-08
858,19,29,2.2474705e-06
859,20,29,1.6323222e-05
860,21,29,4.0430677e-07
861,22,29,4.8677273e-05
862,23,29,3.8121238e-05
863,24,29,0.0004963912
864,25,29,0.051045667
865,26,29,0.10183023
866,27,29,0.08964535
867,28,29,0.12124512
868,29,29,0.21563625
869,30,29,0.19971502
870,1,30,3.3320392e-20
871,2,30,3.4350124e-22
872,3,30,2.3960283e-18
873,4,30,3.030846e-15
874,5,30,2.505382e-16
875,6,30,8.8016305e-16
876,7,30,8.600184e-16
877,8,30,7.172877e-20
878,9,30,4.4090886e-15
879,10,30,2.9380649e-18
880,11,30,2.7356103e-24
881,12,30,6.2662644e-28
882,13,30,6.617584e-36
883,14,30,4.6307086e-20
884,15,30,5.7478705e-18
885,16,30,6.339418e-14
886,17,30,1.423836e-19
887,18,30,1.0107497e-14
888,19,30,4.5348787e-11
889,20,30,1.4275427e-07
890,21,30,2.3903482e-07
891,22,30,6.8174572e-06
892,23,30,1.8603938e-05
893,24,30,0.00028865034
894,25,30,0.0015935866
895,26,30,0.036013268
896,27,30,0.052608293
897,28,30,0.11420202
898,29,30,0.18852827
899,30,30,0.19971019
900,1,31,3.088145e-20
901,2,31,3.1692539e-22
902,3,31,2.1349037e-18
903,4,31,2.7474674e-15
904,5,31,2.6639504e-16
905,6,31,3.2387294e-15
906,7,31,4.0598242e-14
907,8,31,7.762292e-17
908,9,31,1.0975016e-14
909,10,31,3.1569626e-17
910,11,31,2.8033047e-22
911,12,31,8.815614e-26
912,13,31,9.873349e-33
913,14,31,1.8019e-41
914,15,31,1.4686374e-14
915,16,31,1.6484067e-16
916,17,31,2.7330585e-13
917,18,31,1.6953824e-10
918,19,31,7.425504e-09
919,20,31,2.8094037e-06
920,21,31,2.5010564e-07
921,22,31,2.6326015e-05
922,23,31,7.6231054e-06
923,24,31,0.00014795331
924,25,31,0.0005245611
925,26,31,0.0011047502
