,n_true,n_fit,posterior
848,9,29,0.0
849,10,29,0.0
850,11,29,0.0
851,12,29,0.0
852,13,29,1.392e-41
853,14,29,1.5512982e-38
854,15,29,2.368089e-28
855,16,29,4.6296515e-26
856,17,29,1.16150344e-17
857,18,29,4.6796833e-17
858,19,29,5.577495e-15
859,20,29,2.6771346e-11
860,21,29,2.4389866e-09
861,22,29,6.8041045e-06
862,23,29,8.7391e-05
863,24,29,2.9371207e-05
864,25,29,0.003836079
865,26,29,0.0039882218
866,27,29,0.043526985
867,28,29,0.3492748
868,29,29,0.4612248
869,30,29,0.3697134
870,1,30,0.0
871,2,30,0.0
872,3,30,0.0
873,4,30,0.0
874,5,30,0.0
875,6,30,0.0
876,7,30,0.0
877,8,30,0.0
878,9,30,0.0
879,10,30,0.0
880,11,30,0.0
881,12,30,0.0
882,13,30,1e-45
883,14,30,1.247e-42
884,15,30,6.5346965e-32
885,16,30,1.8751338e-29
886,17,30,1.7874775e-20
887,18,30,8.037177e-20
888,19,30,1.4254555e-17
889,20,30,9.0716395e-14
890,21,30,1.9193326e-11
891,22,30,1.696375e-07
892,23,30,4.377982e-06
893,24,30,6.3322213e-06
894,25,30,0.007660185
895,26,30,0.005761609
896,27,30,0.044677
897,28,30,0.05951475
898,29,30,0.1338593
899,30,30,0.10146586
900,1,31,0.0
901,2,31,0.0
902,3,31,0.0
903,4,31,0.0
904,5,31,0.0
905,6,31,0.0
906,7,31,0.0
907,8,31,0.0
908,9,31,0.0
909,10,31,0.0
910,11,31,0.0
911,12,31,0.0
912,13,31,0.0
913,14,31,0.0
914,15,31,1.4594087e-35
915,16,31,6.180628e-33
916,17,31,1.2868332e-23
917,18,31,8.998751e-23
918,19,31,5.1251e-21
919,20,31,2.5772182e-16
920,21,31,1.1740207e-13
921,22,31,2.1554802e-09
922,23,31,8.23887e-08
923,24,31,7.785903e-08
924,25,31,7.3864554e-05
925,26,31,0.00040721163
926,27,31,0.001558425
927,28,31,0.009335457
928,29,31,0.030986506
929,30,31,0.076832786
930,1,32,0.0
931,2,32,0.0
932,3,32,0.0
933,4,32,0.0
934,5,32,0.0
935,6,32,0.0
936,7,32,0.0
937,8,32,0.0
938,9,32,0.0
939,10,32,0.0
940,11,32,0.0
941,12,32,0.0
942,13,32,0.0
943,14,32,0.0
944,15,32,2.641832e-39
945,16,32,1.2368493e-36
946,17,32,8.857373e-27
947,18,32,8.474552e-26
948,19,32,3.4930095e-23
949,20,32,1.6366541e-18
950,21,32,5.072695e-16
951,22,32,1.3426793e-11
952,23,32,1.4899381e-09
953,24,32,3.2900558e-09
954,25,32,1.2798761e-05
955,26,32,4.184602e-05
956,27,32,0.000461481
957,28,32,0.005912964
958,29,32,0.069720164
959,30,32,0.2989784
960,1,33,0.0
961,2,33,0.0
962,3,33,0.0
963,4,33,0.0
964,5,33,0.0
965,6,33,0.0
966,7,33,0.0
967,8,33,0.0
968,9,33,0.0
969,10,33,0.0
970,11,33,0.0
971,12,33,0.0
972,13,33,0.0
973,14,33,0.0
974,15,33,3.17e-43
975,16,33,2.25367e-40
976,17,33,9.790041e-30
977,18,33,5.1830717e-29
978,19,33,3.1085264e-26
979,20,33,3.2233528e-21
980,21,33,1.5020668e-18
981,22,33,3.6317962e-13
982,23,33,1.0544431e-11
983,24,33,4.5637686e-12
984,25,33,4.0778864e-06
985,26,33,2.2592458e-06
986,27,33,8.166876e-05
987,28,33,0.00023635519
988,29,33,0.004114148
989,30,33,0.06532161
990,1,34,0.0
991,2,34,0.0
992,3,34,0.0
993,4,34,0.0
994,5,34,0.0
995,6,34,0.0
996,7,34,0.0
997,8,34,0.0
998,9,34,0.0
999,10,34,0.0
1000,11,34,0.0
1001,12,34,0.0
1002,13,34,0.0
1003,14,34,0.0
1004,15,34,0.0
1005,16,34,3.1e-44
1006,17,34,2.8173363e-33
1007,18,34,2.6482997e-32
1008,19,34,2.160241e-29
1009,20,34,4.482929e-24
1010,21,34,3.2161966e-21
1011,22,34,5.851307e-16
1012,23,34,9.3020406e-14
1013,24,34,4.4142706e-13
1014,25,34,2.0802192e-08
1015,26,34,7.134366e-08
1016,27,34,1.9285221e-06
1017,28,34,6.6301523e-06
1018,29,34,0.0023062257
1019,30,34,0.01768136
1020,1,35,0.0
1021,2,35,0.0
1022,3,35,0.0
1023,4,35,0.0
1024,5,35,0.0
1025,6,35,0.0
1026,7,35,0.0
1027,8,35,0.0
1028,9,35,0.0
1029,10,35,0.0
1030,11,35,0.0
1031,12,35,0.0
1032,13,35,0.0
1033,14,35,0.0
1034,15,35,0.0
1035,16,35,0.0
1036,17,35,9.151378e-37
1037,18,35,1.02257175e-35
1038,19,35,1.1398529e-32
1039,20,35,4.237044e-27
1040,21,35,1.8710292e-24
1041,22,35,2.1015519e-20
1042,23,35,5.097507e-16
1043,24,35,3.4596862e-15
1044,25,35,3.3190843e-09
1045,26,35,1.4976562e-09
1046,27,35,1.4559582e-07
1047,28,35,1.916886e-06
1048,29,35,0.00033940963
1049,30,35,0.009542366
